dataset_id,area,country,archipelago,location,site,replicate,zone,latitude,longitude,depth,year,nyear,biom,herb,plank,pisc,prod,exP,egP,exN,egN,Ic,turn,egNP,exNP,outN,outP,outNP,coral_cover
ATPP,Pacific,France,Society Islands,Moorea,ATPP,1,Barrier reef,-17.470833,-149.901167,NA,2008,12,15465.211512529106,90.13837172009974,0.22908628889021174,1.2302921012957122,2.004242463115444,0.4286444754523724,1.7864929520861852,5.376598249151176,9.585383597887407,116.21008735021155,1.295968349021099e-4,5.365475182364438,12.543258007645969,14.961981847038583,2.215137427538558,6.754426005823129,18.1
ATPP,Pacific,France,Society Islands,Moorea,ATPP,1,Barrier reef,-17.470833,-149.901167,NA,2009,12,16303.185101537209,97.87645544141172,0.16962926245441876,1.2826300555678745,2.36401305964341,0.4393258326020128,1.9325858787790384,5.7910895309732275,10.408462637175766,125.84758701242647,1.4500314171250563e-4,5.385769787240495,13.181764196915324,16.199552168148994,2.3719117113810513,6.829745007126242,15.9
ATPP,Pacific,France,Society Islands,Moorea,ATPP,1,Barrier reef,-17.470833,-149.901167,NA,2010,12,16654.680034670946,93.04763312133406,0.14161735851379395,0.20837927414201518,1.8973237489269525,0.4196178553301768,1.8077346419364535,5.575865324374943,9.913099523646624,120.30898211446244,1.1392135693854168e-4,5.483713866891253,13.28796011310712,15.488964848021567,2.2273524972666303,6.953980057951925,12.1
ATPP,Pacific,France,Society Islands,Moorea,ATPP,1,Barrier reef,-17.470833,-149.901167,NA,2011,12,25936.46746031762,125.50170637437984,1.3705350124238243,2.4851525576594926,3.0529401792431474,0.627370356017426,2.6134560929140784,7.663880197825062,13.939020525454621,166.09775425852578,1.1770840357940406e-4,5.333558334210319,12.215878745810853,21.60290072327968,3.2408264489315046,6.665861644767224,11.3
ATPP,Pacific,France,Society Islands,Moorea,ATPP,1,Barrier reef,-17.470833,-149.901167,NA,2012,12,13482.266919795926,66.33508188377411,1.8098221879075846,0.5654405591361962,1.7039642404623974,0.3758365779783534,1.545588529608565,4.659579202617907,8.259101261499929,97.38388360573988,1.2638558861050863e-4,5.343661073618103,12.39788641031709,12.918680464117836,1.9214251075869184,6.723488942195703,8.666666666666666
ATPP,Pacific,France,Society Islands,Moorea,ATPP,1,Barrier reef,-17.470833,-149.901167,NA,2013,12,5677.128966326138,32.803488384119014,0.685623792234349,0.43867994447274383,1.1484443366810666,0.13239114519558862,0.7175163439382976,2.0724067591832918,3.8455538745748643,45.63075273324398,2.0229315618740715e-4,5.3595348831601815,15.653665931521424,5.917960633758156,0.8499074891338861,6.963064462214544,5.9
ATPP,Pacific,France,Society Islands,Moorea,ATPP,1,Barrier reef,-17.470833,-149.901167,NA,2014,12,7845.877448618553,44.23972360951655,1.2200985308350243,0.46041032544342997,1.6027175503610371,0.1569159404808853,0.9428129226467374,2.729258679066167,5.103283669114011,61.07542618668162,2.0427511911280647e-4,5.41282745126963,17.393125712416907,7.832542348180178,1.0997288631276227,7.122248593079999,5.6
ATPP,Pacific,France,Society Islands,Moorea,ATPP,1,Barrier reef,-17.470833,-149.901167,NA,2015,12,9035.470671174684,46.68527154363988,1.1591337941451818,0.27719284151792106,1.6141737352505967,0.2087759189557127,1.1020750474168242,3.1536154506061305,5.892297188515929,70.22094655765031,1.7864855014141075e-4,5.3465480434631045,15.105264373306873,9.04591263912206,1.310850966372537,6.900794118613221,7.1
ATPP,Pacific,France,Society Islands,Moorea,ATPP,1,Barrier reef,-17.470833,-149.901167,NA,2016,12,14544.323643519103,69.20308761594083,0.8579511655474938,1.206684401728206,1.999269531851639,0.3524488575841325,1.5692150553870161,4.59633379035944,8.374860256588738,98.8414264687376,1.3746046779854944e-4,5.336974194734094,13.041136866963049,12.971194046948177,1.9216639129711486,6.749980555597249,6.1
ATPP,Pacific,France,Society Islands,Moorea,ATPP,1,Barrier reef,-17.470833,-149.901167,NA,2017,12,6028.677103939066,30.798034040676797,1.5988213508571578,0.15812355624820684,1.0676900562680598,0.13508380878620588,0.6930677601302934,1.9766846944380734,3.7110123095197407,43.82179882143311,1.7710188120217016e-4,5.3544725681975,14.633024580810629,5.687697003957814,0.8281515689164992,6.867942074177598,16.2
ATPP,Pacific,France,Society Islands,Moorea,ATPP,1,Barrier reef,-17.470833,-149.901167,NA,2018,12,9853.815773522076,49.270046333746606,0.7772746279480687,2.0510840738956,1.5094431099652108,0.23543025615697194,1.077180107870052,3.1246067936048356,5.704199051246278,67.12037409881059,1.531836138058512e-4,5.295492378266622,13.271899901945991,8.828805844851114,1.312610364027024,6.726143634707236,6.9
ATPP,Pacific,France,Society Islands,Moorea,ATPP,1,Barrier reef,-17.470833,-149.901167,NA,2019,12,7486.342071096731,46.63247064256039,1.315595260628374,0.4864382633427485,1.1560620637861305,0.13839711748461425,0.8038262910917929,2.4360573242066184,4.504894203846661,55.569090371056475,1.5442282129338636e-4,5.60431308825183,17.601936864598624,6.940951528053279,0.9422234085764072,7.366566638946352,8.2
ATPP,Pacific,France,Society Islands,Moorea,ATPP,1,Outer slope,-17.470833,-149.901167,NA,2008,12,29151.927877106846,150.687640295432,3.614730961642983,3.970600146585655,2.949437617055064,0.6487915178168943,2.7622550010174454,8.53592075812887,15.183492054898581,183.3350942873165,1.0117470204676487e-4,5.4967742113982645,13.156646663401553,23.719412813027454,3.4110465188343397,6.953705463135434,NA
