Label,PC1,PC2,PC3,PC4,PC5,PC6,SurveyID,biom,cover
912343407,-0.881410106,2.146241078,-0.01633249,-1.466162005,-0.725548638,-0.898662614,912343407,54605.63834,4
912343409,0.075191345,1.741428212,-0.208991604,-0.808591815,-0.66772629,-1.078305406,912343409,34253.32024,7
912343410,0.848745144,0.462281017,0.271508483,-0.658588209,-0.050091232,0.449008097,912343410,13426.74341,47
912343411,2.631205509,1.418973811,-0.591337519,-0.618245999,-0.103261485,0.468997292,912343411,5343.210176,52.52631579
912343412,0.504162413,-2.490585684,2.306125145,-0.245597291,0.221678728,0.326785307,912343412,10207.66216,7.083333333
912343415,0.187488792,-2.379895575,2.554238525,-1.248228475,-0.941493633,0.478319557,912343415,15819.3049,42
912343416,1.024164063,-2.894897412,2.559968428,-0.56906368,0.637557664,0.546645677,912343416,7817.868613,32
912343417,0.296161784,-2.801708681,1.747363192,-0.371321701,0.099196706,0.130818267,912343417,13692.27287,30
912343418,1.231275526,-2.612114674,2.182307495,-0.340608533,0.348479594,0.297780538,912343418,7202.060795,27
912343423,1.361465935,-0.550218417,-1.244111125,0.144225276,-0.282338148,-0.050969502,912343423,11308.61739,54
912343424,0.566917581,3.334027376,-1.439046739,-2.273464895,1.085400011,-0.012950212,912343424,100848.7951,9
912343823,0.112216465,3.787693936,0.087186193,-0.429187506,0.971832699,-0.261881297,912343823,33228.04595,6
912343824,4.210018548,1.235950682,1.577418738,-0.413820729,-1.532496596,-0.985563749,912343824,780.8470911,57
912343831,0.942847383,-1.645023568,-0.131673951,1.290770641,0.085828688,0.525004705,912343831,9872.01986,5
912344169,0.569024965,0.977478034,-0.485369265,0.019092866,-0.436858601,-0.180648307,912344169,15290.43587,16
912344170,1.182387283,0.954771468,-0.229228337,0.807450622,0.170542521,0.163596903,912344170,9691.681337,22
912344171,-0.088787454,0.020696127,0.195931833,0.046655808,0.46853651,-0.489772752,912344171,30356.58232,26
912344173,-2.269409416,-1.413219894,1.370685837,-0.763963234,0.080858702,-0.667587397,912344173,53780.65881,73
912344175,0.180699576,1.846168056,1.987314285,-1.118377141,-0.106868858,-2.734210438,912344175,20408.87709,35.64356436
912344176,0.999550881,3.135568614,1.267656997,-1.136304605,0.093562625,-1.072778256,912344176,14876.47437,45
912344177,0.034368605,0.937169001,0.669352486,-0.266918266,0.388326409,-1.003059097,912344177,21764.18163,28.16901408
912344178,0.650412359,2.454308476,1.020803783,-0.793624575,0.413502543,-1.456202055,912344178,18928.082,27
912344180,-2.824053725,-2.601844138,-0.910838565,0.247005409,0.243087632,-0.391015883,912344180,86804.60636,59
912344181,1.006645605,-3.085424219,0.174732253,0.081615554,-0.753249284,-0.734550272,912344181,11178.80126,57
912344182,-2.586006851,1.308768602,0.876372441,-0.776550266,-0.332545114,-2.196770485,912344182,74420.68526,39.42307693
912344183,-0.071403713,1.880139015,0.222626181,-0.40248177,0.275171528,-1.212429321,912344183,25240.18105,46
912344185,0.291726994,0.798246183,0.642104854,-0.182086186,-0.302699386,-1.884078184,912344185,16112.87113,35.0515464
912344186,-0.20115115,3.324684561,0.983750813,-0.829766066,-0.063685931,-1.11394181,912344186,28784.40673,33.33333333
912344187,-0.853680466,1.607626635,0.204433402,-0.715934435,-0.20345454,-1.197142946,912344187,36830.64512,27.61904762
912344188,-1.495887312,-0.9597797,1.982310534,-1.256066508,-0.366357281,-0.316197018,912344188,33185.91009,22.85714285
912344189,-0.968574198,1.343459554,0.78159945,-0.676952919,-0.095423937,-1.314622075,912344189,37728.71655,36.19047619
912344191,-1.93754388,2.848614533,1.126428244,-0.901708557,0.135423693,-1.430394307,912344191,75807.44539,31.68316832
912344192,0.092260248,1.164275686,0.795675133,1.257151385,0.433804346,-0.713041356,912344192,17255.55984,20.79207921
912344193,-0.91628292,2.103890819,1.825096229,-0.216920108,0.19603719,-1.046669179,912344193,29446.3359,38.09523809
912344194,0.576145426,3.327985075,1.444986286,-0.711353873,0.868258701,-1.553850035,912344194,25281.22707,34.02061856
912344195,-0.152501892,3.143277894,0.392076846,-0.540946975,0.992968654,-0.413740691,912344195,36826.93867,41
912344196,-1.262253518,1.681050256,-1.2200038,0.150381322,0.078945855,0.085818662,912344196,45044.02773,22
912344237,-4.754435439,-0.502730796,1.373471989,-0.522194727,0.648911297,-0.062598332,912344237,169476.1606,80
912344250,1.132059849,-0.779987902,-0.924276493,0.54580089,0.74760427,-0.860310158,912344250,14201.03681,34.7826087
912344251,0.036735644,-0.331037591,-1.133371771,-0.40375823,0.234555449,-0.169477678,912344251,26878.68346,43.80952382
912344252,2.581252556,-0.422347274,-0.026113518,2.21613037,0.673460589,-0.511083957,912344252,4092.789649,26.26262626
912344253,1.377506069,-1.574111556,-0.047593721,0.857464461,-0.027136092,-0.622615516,912344253,7353.064898,20.1923077
