location,site,year,herb_avg,plank_avg,pisc_avg,prod_avg,exP_avg,exN_avg,turn_avg
Hoga,B3,2013,9.161090516636605,6.149861190377761,0.3298892847027842,0.7047905291056962,0.04091933590808045,1.0580994955902316,2.907255108623662e-4
Hoga,B3,2014,11.49148470851203,8.30348197783251,0.6734792038192898,0.8033236560714181,0.08199125734504308,1.5759256110967161,2.0466200382769222e-4
Hoga,B3,2015,11.475248828623638,6.315781000843035,0.7172545445735244,0.8075348886350954,0.06386714900364811,1.360996191198473,2.2913038688116168e-4
Hoga,B3,2017,25.758695134909175,19.415767233300226,3.0024137843994314,1.7852923484031888,0.22838231734517025,3.5311555653492745,1.7637854172406308e-4
Hoga,B3,2018,29.238161344394932,25.11956018808772,1.3268696323295717,1.9434269601727758,0.2268752264184435,4.006386299564608,2.2260466021658512e-4
Hoga,B3,2019,22.066051166677003,17.008035650396028,2.3177368239251326,1.5884654346274627,0.2697743786171429,3.5950795017428225,1.7904339560142677e-4
Hoga,KAL,2013,16.578538934339225,10.45613596921258,0.6288192159435011,1.1914658224566355,0.07632509449715727,1.7968600271416972,2.9808496909417025e-4
Hoga,KAL,2014,18.081760979704725,6.050420750341209,0.37924355267318505,0.8977418389152165,0.0665530880870262,1.5082401413499458,2.4920063330067697e-4
Hoga,KAL,2015,14.06668995672197,6.108236945429375,0.2594194050913439,0.7520938224591579,0.06034417670067889,1.3150196349910412,2.3805843364317698e-4
Hoga,KAL,2017,29.816182133682997,10.290584909800417,0.9197828746767501,1.5247427511027587,0.15367832862947045,2.6388269399583484,2.2304543092161163e-4
Hoga,KDS,2013,13.239245159522914,7.990906328678905,2.17929217778523,1.3926488586087131,0.09389544319475344,2.0484418457929143,3.023111505810912e-4
Hoga,KDS,2014,15.05165751006327,7.410373460915741,0.9512952679280167,0.9449596608197842,0.08046309500909717,1.6827877109708955,2.561501807003112e-4
Hoga,KDS,2015,19.883301385176487,7.619637656010687,0.8035931692190736,1.0666853837507633,0.09511555643511253,1.8256376336690772,2.4878203911440027e-4
Hoga,KDS,2017,23.006365241580202,15.833324657400638,6.916209648643063,2.073156101565332,0.38621519734021303,4.65766998305898,2.1120006626831794e-4
Hoga,KDS,2018,17.308344681021072,7.266934981978196,4.4962941662598315,2.031235217707233,0.13979484109052498,3.417094180763199,2.3211154800152463e-4
Hoga,PK,2013,13.414243882960353,6.072548100429523,0.8283376173502109,1.12049438012277,0.0786546353533114,1.643256260204381,2.8361902070462555e-4
Hoga,PK,2014,8.993353085234345,8.705481831148829,0.6112117083777632,0.7535043685308137,0.10496296444010593,1.6539990848581487,2.2076270633866044e-4
Hoga,PK,2015,10.04876819197637,7.800818407148682,0.39290251459113484,0.6367724670627455,0.06449039864213393,1.2567152262263481,2.2525722047479635e-4
Hoga,PK,2017,25.676128886169344,18.66684731831567,4.6697463005114255,2.169418651780511,0.38940144810494876,4.586221165231377,1.7973536155702272e-4
Hoga,PK,2018,20.847836481297335,10.983011996945159,6.473911677728933,3.083178410368201,0.496055719091572,5.348327557441706,2.1613508355123763e-4
Hoga,PK,2019,49.55672922327354,16.676833098184357,4.805246684927433,3.1166196433510396,0.5456976825811314,6.459939965289761,1.7347054189256885e-4
Hoga,R1,2013,12.812179365461924,12.685674813671646,1.331471894363494,1.3476944024457111,0.08595409719958227,2.1727834452207575,2.4411699193546774e-4
Hoga,R1,2014,21.49663737649719,17.413856982772156,0.7781351586093005,1.6284669379800396,0.10851633450811168,2.736929510236712,2.2635417404667292e-4
Hoga,R1,2015,16.10606729796109,23.695754809627186,0.6508422141657528,1.6074908731572655,0.13468050554196598,2.9953883086844932,2.125934199248983e-4
Hoga,R1,2017,27.291990460003497,19.32606621565382,0.9088154197455429,1.656514815903311,0.19245789650479356,3.3513486975368214,1.8139036551808834e-4
Hoga,R1,2018,39.467185422803425,20.077417579934785,6.234618692466335,3.3727067289874166,0.28494369404597236,6.3540624603015665,1.9117045718598376e-4
Hoga,SAM,2013,7.802863966101795,4.025049743650867,0.20334526138592035,0.48467161405189774,0.03217889212591267,0.7641873933526108,2.818393224670515e-4
Hoga,SAM,2014,9.725020220294011,4.185773725972193,0.15002686319790284,0.48344640648129455,0.04326354849382835,0.9243594075250626,2.446553838507775e-4
Hoga,SAM,2015,12.872600053395937,6.061959113605074,0.34481635110421205,0.6277662243361753,0.06284228375472382,1.2196045542119662,2.3715876418724783e-4
Hoga,SAM,2017,20.353282800354076,8.839208128503302,0.9080635659848939,0.8934392688103702,0.14627025743772515,2.0826580378960893,1.785218613326462e-4
Hoga,SAM,2019,21.663422677308372,9.488317854457888,1.701274156710241,1.3123387948303702,0.15248812653517982,2.474769010924028,2.1932231623249411e-4
Moorea,Afareaitu,2004,40.15730676985369,0.8731326401944939,0.5350168300464264,1.197816678580037,0.13864471036758652,2.3108688144389085,2.0924763165342634e-4
Moorea,Afareaitu,2005,68.21668494580207,1.3742985263779524,1.114277007743353,2.1364384957375795,0.2666483047961224,4.113086089195575,4.7028524759054217e-4
Moorea,Afareaitu,2006,88.50350809872874,3.324677873650785,1.6863291997967877,3.168434233248847,0.3331644308357198,5.6365018357350705,2.731469860766595e-4
Moorea,Afareaitu,2007,141.41340705042683,2.3926656510914266,4.246521122921291,5.566197831993217,0.3843683083844692,8.328038690243517,2.668682923304749e-4
Moorea,Afareaitu,2008,71.98880453001338,3.8400029907652673,2.6495649813599007,3.0163501423034464,0.3463144177343339,5.42797955155647,3.1487812174699247e-4
