Location,Site,Year,Storage_avg,Storage_sd,Accretion_kgyr_avg,Accretion_kgyr_sd,GPP_ghr_avg,GPP_ghr_sd,Calc_ghr_avg,Calc_ghr_sd,BranchSpace_cm3_avg,BranchSpace_cm3_sd,OrgGrowth_gyr_avg,OrgGrowth_gyr_sd,BiomassStand_g_avg,BiomassStand_g_sd,Rugosity_avg,Rugosity_sd
Hoga,B3,2005,10.651966189823309,12.32339984973274,0.9701471615983871,1.0226796984095807,0.23931006517099937,0.211130945526705,0.0914945909150327,0.0975494791431843,978.3716360839437,2078.442615554597,19.750348257657453,18.629887458753004,133.33250630992535,95.33526500040823,2.5290812013348165,0.2775838220076893
Hoga,B3,2006,6.577855500122831,5.9002786716555535,1.1876105815161553,1.7309801249951058,0.43495960338701406,0.6707548124990419,0.16167259797068195,0.2926322006650549,2371.8100268701664,5180.893662047754,25.93959099134204,30.56124590326319,115.88282319573088,103.67382737384071,2.7771260997067446,0.23960867251272527
Hoga,B3,2008,7.144984271105557,9.142850241156466,0.7677390557068817,0.8674638300128237,0.1698267008014711,0.16424064607736877,0.06395286060242522,0.07098573857820964,593.2360124007336,1221.9357147949422,23.224473869806626,24.16121130104899,94.8582615665846,80.8074748339986,2.4958011349171807,0.16980220058788345
Hoga,B3,2009,6.6740285575733,9.118260517630976,0.5901375241286732,0.7557768967903792,0.13304428316880218,0.12342054294710375,0.04333195038203601,0.04535876994518043,271.03216463873855,594.6472895851911,21.461545271718983,18.10291343568735,98.04723590875845,80.19744804402899,2.337047437047437,0.07815999701550758
Hoga,B3,2010,10.246344962529687,26.47043078426865,0.6520803885934301,1.193924055706134,0.16059963663830865,0.1540493641364001,0.0405799384316165,0.07068941026427329,200.44425108279265,359.5641334028147,92.88356866926573,146.81583179834604,183.9945213810522,211.86245822385482,1.9213389818737412,0.23922834662717057
Hoga,B3,2011,20.463407661629116,37.199318509773576,1.1764313330516039,1.4673199496255993,0.1411075208169878,0.10980178133168733,0.07205226341172721,0.08739327707432716,354.8372471165219,569.4271314575975,38.88626954579292,63.427773701081925,142.704144722619,170.17754743418342,2.5686713286713285,0.5730469934643416
Hoga,B3,2012,10.482546848058021,18.625415956419033,0.9945931544489102,1.2772701969494125,0.21205567918686574,0.2096668482851263,0.07635621813768229,0.10855690546491932,642.3652156106701,1799.7354029102037,73.52897968838249,104.65832151494706,160.11082751503636,121.52746730447939,1.972929292929293,0.12744164333021524
Hoga,B3,2013,8.849409899585979,13.394802113488005,0.6849316865148782,0.924944924402865,0.14965477010035802,0.06237938432524644,0.047460787701311104,0.0516527289011989,108.70795956488264,343.76475201451586,38.83950979773998,48.27809996331465,134.93229630285438,75.08384231889661,2.1735784313725492,0.15683246519202887
Hoga,B3,2014,9.935766612631788,19.71199720123908,0.799447411494845,1.446379654759016,0.10787291034361685,0.09535807553131616,0.049283587483840256,0.08395898205762324,62.46423999398028,165.26565157768854,26.87467526941278,28.53432844153857,120.06891848139749,140.68963253456,2.369141065830721,0.2308241726536101
Hoga,B3,2015,7.357904861301513,9.745536206138267,0.7929932855971177,1.165399982195529,0.20626056357569922,0.2829358793504227,0.07298918405055851,0.12938727300714986,724.406752255928,2286.083227599748,36.54337383921856,50.62448256179107,123.39168544912883,68.74270742093968,2.3927829746011566,0.16006252507030458
Hoga,B3,2016,6.202787240076874,7.048695655732035,0.4643872038702776,0.5975778241812563,0.16654091824026765,0.09434685414547521,0.03509009101748432,0.033822660648250985,105.35118333668285,326.31385454489936,71.025125770591,111.30062479180998,159.88701981010723,110.5694172748694,2.0086537135766154,0.0639992090339559
Hoga,B3,2017,14.637210294659164,15.461876339301535,1.8378354383380042,3.2786157852730127,0.7664062715749407,1.6136298888623049,0.32115633553171136,0.6957936616828077,5435.397978244132,13322.824606698747,53.80127051687966,64.87116527769886,198.43331163951243,201.25089232212454,2.7706356801093643,0.4792292938773317
Hoga,B3,2018,6.49791980245234,8.436424191695822,0.8894509081468633,1.4204660412124317,0.22756157804296395,0.37450989641814186,0.08446329266200067,0.16435560428832297,1053.7485160059061,2985.9545173133192,29.163334390119253,33.22249448501199,97.04028586599541,73.37328218878595,2.4646128548628914,0.17691440670085426
Hoga,B3,2019,4.694610691145197,6.0039227755055515,1.049905730798589,1.6098842043674528,0.34136882105763594,0.5839067060932561,0.13246860818801232,0.2569157072292887,2012.4379782020399,4459.594352849888,52.307381270240136,66.25016278479438,110.88495395658981,90.42667589213293,2.29238950293717,0.3484488336682893
Hoga,KAL,2005,6.583914864044752,6.421107282686251,0.9869795778135343,1.1898371316628038,0.3289753285801105,0.4812710793128473,0.13581139322944938,0.20929675202702513,2219.4541744496873,4276.436110964328,22.181744568276837,20.10548043791099,102.42103875741466,75.63204906428892,2.834567901234568,0.2860402299975266
Hoga,KAL,2006,5.050074246941171,6.050889714915009,0.8700914801251887,1.0121583160406098,0.16646216874873884,0.19600426292411588,0.06942209200440558,0.0889895263843151,815.3096967366198,1630.6193934732394,25.494251770436016,23.94427271154688,71.4347247039767,43.592793215431996,2.3047619047619046,0.06698884563781031
Hoga,KAL,2008,3.0724818391239257,4.003350154463562,0.5305932081080083,0.72492709491335,0.14965092018852297,0.24283556702110662,0.05930164110135619,0.10739061208459849,790.6033422900555,1904.15321422233,30.270507911557612,43.973399670819845,61.47031831571645,45.790916889098476,1.8766233766233766,0.15280565139930877
