dataset_id,area,country,archipelago,location,site,replicate,zone,latitude,longitude,depth,year,nyear,biom,herb,plank,pisc,prod,exP,egP,exN,egN,Ic,turn,egNP,exNP,outN,outP,outNP,coral_cover
HOGA,South East Asia,Indonesia,NA,Hoga,B3,1,Crest,-5.473333,123.7575,NA,2013,6,3318.4686294357607,6.940276084297913,15.52249793983432,0.10839519071650709,0.65472486933446294,0.07751940283692771,0.4147301901653611,1.566654557125584,2.570680434201636,26.860719098139267,1.9729729054144648e-4,6.198440564880639,20.209837792755557,4.13733499132722,0.4922495930022888,8.40495360512768,28.358208333333334
HOGA,South East Asia,Indonesia,NA,Hoga,B3,1,Crest,-5.473333,123.7575,NA,2014,6,5643.377876137692,15.013452176043494,20.826741306737947,0.19871101527693852,1.0053987686130954,0.13959766099464985,0.7110425439731589,2.573955289057155,4.27578343286954,45.22004432201965,1.7815549316027492e-4,6.013400279788246,18.438384072608518,6.849738721926695,0.8506402049678088,8.052451179621722,36.318406933333335
HOGA,South East Asia,Indonesia,NA,Hoga,B3,1,Crest,-5.473333,123.7575,NA,2015,6,1356.1108976286946,3.1167979472562193,6.015545465228691,0,0.255915982330647,0.030067624084487408,0.16862424322004352,0.6356161292100071,1.0448298787187997,10.945277473177411,1.887131670264899e-4,6.196202033389503,21.13955287667496,1.6804460079288068,0.19869186730453092,8.457548015053993,34.660030500000005
HOGA,South East Asia,Indonesia,NA,Hoga,B3,1,Crest,-5.473333,123.7575,NA,2017,6,7827.546787172664,5.703477436898098,37.371343252663394,1.0871232168382305,1.2771265888296708,0.2429626578727184,0.9630650790716285,3.697952901134397,5.809149558557933,57.471882707025216,1.6315796296772735e-4,6.031938738924905,15.220252089404022,9.50710245969233,1.2060277369443468,7.88298823357082,42.78607043333333
HOGA,South East Asia,Indonesia,NA,Hoga,B3,1,Crest,-5.473333,123.7575,NA,2018,6,20823.39061914696,60.61953934930269,72.47298387674627,0.9918667511760957,4.059020648906887,0.5612127756245466,2.7150042108130292,9.485547558385704,15.931122910040603,168.1813209354981,1.9492601964516987e-4,5.86780780913408,16.90187388879324,25.416670468426307,3.276216986437576,7.757932570901952,50.08291583333334
HOGA,South East Asia,Indonesia,NA,Hoga,B3,1,Crest,-5.473333,123.7575,NA,2019,6,9168.952035920413,30.753204592893248,20.905808941670344,0.6468332424347192,1.8060079174032428,0.17759043112227238,1.0913902199223777,3.5939497740037414,6.276780495521755,69.14008327750786,1.9696993836678406e-4,5.751178983414543,20.237294043896313,9.870730269525495,1.2689806510446502,7.778471847777753,53.7313391
HOGA,South East Asia,Indonesia,NA,Hoga,B3,1,Flat,-5.473333,123.7575,NA,2013,6,2528.4295756196902,14.289264420577629,2.0155303604761565,0.6684890317447677,0.8701254913670958,0.042412657871651945,0.39823979859605935,1.0719011012654838,2.0979633116064176,24.070921509876342,3.4413673204793045e-4,5.26809052988301,25.27314144068128,3.1698644128719016,0.4406524564677113,7.193570275953228,16.915422366666668
HOGA,South East Asia,Indonesia,NA,Hoga,B3,1,Flat,-5.473333,123.7575,NA,2014,6,2750.6882356229457,15.918654996691034,4.710047474472597,0.17539597657271813,0.5994925428349677,0.05582567426148198,0.35102267885509153,1.1505902366342968,2.0187003422388052,23.652142356974363,2.179427443180238e-4,5.750911447724895,20.610413610860213,3.169290578873102,0.4068483531165735,7.789857214845382,17.744611
HOGA,South East Asia,Indonesia,NA,Hoga,B3,1,Flat,-5.473333,123.7575,NA,2015,6,3911.713578743573,21.25176175059295,6.78975880882127,0.2319242547059325,1.0861719531442104,0.059327785180990154,0.5201081089327279,1.6214793396012543,2.9625155068870033,33.561792138568656,2.7767164729199947e-4,5.6959610050420935,27.330859135473165,4.583994846488258,0.579435894113718,7.911133730332246,18.24212233333333
HOGA,South East Asia,Indonesia,NA,Hoga,B3,1,Flat,-5.473333,123.7575,NA,2017,6,1508.6622858746578,8.088771948776449,3.934751760968469,0.16221548983749623,0.38742413579476004,0.03374437140835424,0.22103939104204626,0.7392008124525032,1.286277737398045,14.615886397555245,2.5679977515322334e-4,5.819224036648601,21.90589960936407,2.0254785498505483,0.2547837624504005,7.94979448600008,31.6749617
HOGA,South East Asia,Indonesia,NA,Hoga,B3,1,Flat,-5.473333,123.7575,NA,2018,6,5640.57533808812,34.26634951814902,5.630098346285915,0.933357911761936,1.498462451159924,0.10248173307410828,0.771366550309397,2.2575202369643192,4.276068713936145,50.41056551505784,2.656577319411941e-4,5.543497721311617,22.02851346524189,6.533588950900464,0.8738482833835053,7.476800120957693,34.1625202
HOGA,South East Asia,Indonesia,NA,Hoga,B3,1,Flat,-5.473333,123.7575,NA,2019,6,4063.845999946064,19.151003679145337,5.11661993653413,0.6907335230039777,0.9215928253700617,0.08786924162468172,0.5359532689002667,1.678355862713113,2.9750364208817732,34.04361879928733,2.26778481611334e-4,5.550925040510174,19.100607125778097,4.653392283594886,0.6238225105249484,7.459481190698046,39.46932116666667
HOGA,South East Asia,Indonesia,NA,Hoga,B3,1,Slope,-5.473333,123.7575,NA,2013,6,851.1792488934103,2.4222558305196698,0.9989022082030383,0.1485927106223173,0.20643890896981984,0.015372645122569107,0.1135407570332794,0.3390370176308341,0.615865847716014,6.523073457930545,2.4253282635614551e-4,5.424183031785674,22.05456607679587,0.9549028653468481,0.1289134021558485,7.4073203358051805,25.3731343
